Date,Open,High,Low,Close,Adj Close,Volume
2008-03-10,72.000000,74.000000,65.514999,72.099998,60.258789,557340
2008-03-11,72.099998,75.290001,67.500000,69.135002,57.780716,1820200
2008-03-12,70.199997,72.989998,69.000000,70.419998,58.854675,2068240
2008-03-13,66.035004,70.000000,65.800003,67.415001,56.343208,1334280
2008-03-14,67.599998,69.769997,64.205002,67.660004,56.547958,487540
2008-03-17,62.005001,64.639999,60.299999,61.419998,51.332787,892750
2008-03-18,60.500000,64.000000,60.200001,61.645000,51.520832,421430
2008-03-19,67.500000,69.699997,56.615002,58.935001,49.255901,677430
2008-03-24,60.500000,61.000000,56.400002,58.270000,48.700115,509730
2008-03-25,59.900002,73.769997,59.705002,71.400002,59.673721,2765150
2008-03-26,72.080002,76.279999,68.010002,73.510002,61.437195,3832280
2008-03-27,73.000000,88.279999,71.000000,85.370003,71.349403,14978550
2008-03-28,86.000000,86.900002,78.599998,80.360001,67.162201,6461360
2008-03-31,78.010002,87.089996,77.000000,82.745003,69.155495,5629310
2008-04-01,93.400002,93.400002,79.209999,80.735001,67.475609,2027710
2008-04-02,86.989998,86.989998,77.925003,79.864998,66.748482,1308330
2008-04-03,80.000000,82.400002,77.500000,79.525002,66.464348,1160180
2008-04-04,79.525002,79.525002,74.214996,76.139999,63.635277,1416410
2008-04-07,75.000000,77.879997,72.629997,75.910004,63.443047,874430
2008-04-08,77.790001,77.790001,74.260002,75.985001,63.505722,560510
2008-04-09,75.500000,80.900002,74.605003,76.375000,63.831673,1629020
2008-04-10,76.500000,79.169998,75.599998,76.055000,63.564224,744830
2008-04-11,77.449997,77.790001,75.500000,76.239998,63.718857,428960
2008-04-15,75.099998,81.989998,74.805000,79.025002,66.046455,1666760
2008-04-16,80.400002,81.900002,78.654999,79.400002,66.359879,605480
2008-04-17,80.099998,81.480003,77.639999,77.864998,65.076958,746150
2008-04-21,79.199997,81.300003,79.000000,79.889999,66.769402,1115230
